title,url,source,difficulty,patterns
103. Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,leetcode,Medium,"Breadth-First Search (BFS),Tree Traversal"
104. Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree,leetcode,Easy,"Depth-First Search (DFS),Breadth-First Search (BFS),Tree Traversal"
105. Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,leetcode,Medium,"Divide and Conquer,Tree Traversal,Hash Table/Hash Map"
106. Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,leetcode,Medium,"Divide and Conquer,Tree Traversal,Hash Table/Hash Map"
107. Binary Tree Level Order Traversal II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,leetcode,Medium,"Breadth-First Search (BFS),Tree Traversal"
108. Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,leetcode,Easy,"Binary Search,Divide and Conquer,Tree Traversal"
109. Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,leetcode,Medium,"Binary Search,Divide and Conquer,Tree Traversal,Linked List Manipulation"
110. Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree,leetcode,Easy,"Depth-First Search (DFS),Tree Traversal"
111. Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree,leetcode,Easy,"Depth-First Search (DFS),Breadth-First Search (BFS),Tree Traversal"
112. Path Sum,https://leetcode.com/problems/path-sum,leetcode,Easy,"Depth-First Search (DFS),Breadth-First Search (BFS),Tree Traversal"
113. Path Sum II,https://leetcode.com/problems/path-sum-ii,leetcode,Medium,"Depth-First Search (DFS),Backtracking,Tree Traversal"
114. Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,leetcode,Medium,"Depth-First Search (DFS),Stack,Tree Traversal,Linked List Manipulation"
115. Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences,leetcode,Hard,Dynamic Programming
116. Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Tree Traversal,Linked List Manipulation"
117. Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Tree Traversal,Linked List Manipulation"
118. Pascal's Triangle,https://leetcode.com/problems/pascals-triangle,leetcode,Easy,Dynamic Programming
119. Pascal's Triangle II,https://leetcode.com/problems/pascals-triangle-ii,leetcode,Easy,Dynamic Programming
120. Triangle,https://leetcode.com/problems/triangle,leetcode,Medium,Dynamic Programming
121. Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,leetcode,Easy,Dynamic Programming
122. Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,leetcode,Medium,"Dynamic Programming,Greedy"
123. Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,leetcode,Hard,Dynamic Programming
124. Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,leetcode,Hard,"Depth-First Search (DFS),Dynamic Programming,Tree Traversal"
125. Valid Palindrome,https://leetcode.com/problems/valid-palindrome,leetcode,Easy,"Two Pointers,Palindrome Patterns,String Manipulation"
126. Word Ladder II,https://leetcode.com/problems/word-ladder-ii,leetcode,Hard,"Breadth-First Search (BFS),Backtracking,Hash Table/Hash Map"
127. Word Ladder,https://leetcode.com/problems/word-ladder,leetcode,Hard,"Breadth-First Search (BFS),Hash Table/Hash Map"
128. Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence,leetcode,Medium,"Union Find (Disjoint Set),Hash Table/Hash Map"
129. Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers,leetcode,Medium,"Depth-First Search (DFS),Tree Traversal"
130. Surrounded Regions,https://leetcode.com/problems/surrounded-regions,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Union Find (Disjoint Set),Matrix Traversal"
131. Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning,leetcode,Medium,"Dynamic Programming,Backtracking,Palindrome Patterns"
132. Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii,leetcode,Hard,"Dynamic Programming,Palindrome Patterns"
133. Clone Graph,https://leetcode.com/problems/clone-graph,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Graph Traversal,Hash Table/Hash Map"
134. Gas Station,https://leetcode.com/problems/gas-station,leetcode,Medium,Greedy
135. Candy,https://leetcode.com/problems/candy,leetcode,Hard,Greedy
136. Single Number,https://leetcode.com/problems/single-number,leetcode,Easy,Bit Manipulation
137. Single Number II,https://leetcode.com/problems/single-number-ii,leetcode,Medium,Bit Manipulation
138. Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer,leetcode,Medium,"Linked List Manipulation,Hash Table/Hash Map"
139. Word Break,https://leetcode.com/problems/word-break,leetcode,Medium,"Dynamic Programming,Trie,Hash Table/Hash Map"
140. Word Break II,https://leetcode.com/problems/word-break-ii,leetcode,Hard,"Dynamic Programming,Backtracking,Trie,Hash Table/Hash Map"
141. Linked List Cycle,https://leetcode.com/problems/linked-list-cycle,leetcode,Easy,"Two Pointers,Linked List Manipulation,Fast and Slow Pointers,Hash Table/Hash Map"
142. Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii,leetcode,Medium,"Two Pointers,Linked List Manipulation,Fast and Slow Pointers,Hash Table/Hash Map"
143. Reorder List,https://leetcode.com/problems/reorder-list,leetcode,Medium,"Two Pointers,Stack,Recursion,Linked List Manipulation"
144. Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal,leetcode,Easy,"Depth-First Search (DFS),Stack,Tree Traversal"
145. Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal,leetcode,Easy,"Depth-First Search (DFS),Stack,Tree Traversal"
146. LRU Cache,https://leetcode.com/problems/lru-cache,leetcode,Medium,"Linked List Manipulation,Hash Table/Hash Map"
147. Insertion Sort List,https://leetcode.com/problems/insertion-sort-list,leetcode,Medium,"Linked List Manipulation,Sorting Algorithms"
148. Sort List,https://leetcode.com/problems/sort-list,leetcode,Medium,"Divide and Conquer,Linked List Manipulation,Sorting Algorithms"
149. Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line,leetcode,Hard,"Hash Table/Hash Map,Math and Geometry"
150. Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation,leetcode,Medium,Stack
